date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,moonphase,people
2017/1/1,60.8,39.2,49.5,60.8,36,49.1,46.9,91.5,0,0,0,0,0,21,15.7,155.1,1025.4,15.1,3.2,123.5,10.4,5,,0.1,0
2017/1/2,64.4,46.4,54.7,64.4,46.4,54.7,50.5,87,0,0,0,0,0,18.6,11.2,5.8,1023,6.8,2.3,118.9,10.2,5,,0.14,0
2017/1/3,60.8,50,53.8,60.8,48.5,53.7,47.9,81.6,0,0,0,0,0,11,6.7,27.9,1024.8,17.3,2.4,83.2,7.2,4,,0.17,1
2017/1/4,64.4,48.2,56.7,64.4,48.2,56.7,52.4,86.4,0,0,0,0,0,10.3,8.9,129.3,1021.4,33,3.3,52.1,4.6,2,,0.21,0
2017/1/5,59,53.5,58,59,53.5,58,55.8,92.6,0.271,100,16.67,0,0,11.2,8.9,87.1,1018.6,85.8,3.1,17.6,1.5,1,,0.24,3
2017/1/6,55.4,53.6,54,55.4,53.6,54,53.8,99.4,0.246,100,16.67,0,0,12.3,8.9,338.4,1020,72.9,3.3,28.4,2.4,2,,0.25,1
2017/1/7,59,51.8,55.6,59,51.8,55.6,54.9,97.4,0.659,100,16.67,0,0,24.4,13.4,338.4,1015,69.8,2.8,46.4,4,3,,0.31,1
2017/1/8,53.5,46.4,49.5,53.5,39.9,46.6,43.6,80,0.02,100,4.17,0,0,27.7,15.7,326.7,1018,46.1,4,69.6,6,3,,0.35,0
2017/1/9,46.4,44.5,45.5,44.6,38.9,41,35.1,67.2,0,0,0,0,0,23.5,15.7,324.6,1023.9,59.8,3.5,82,7.2,4,,0.38,0
2017/1/10,48.2,37.4,43.9,46.4,37.4,42.5,37.1,77.7,0.003,100,4.17,0,0,16.8,6.7,345.2,1025.8,48.8,2.7,85.1,7.4,4,,0.42,0
2017/1/11,44.6,41,43.3,42.2,38.1,39.7,40.3,89.6,0.132,100,12.5,0,0,13.9,8.9,332,1027.1,80.1,3,16.6,1.4,1,,0.45,1
2017/1/12,42.8,41,42.1,42.8,36.5,38.9,40.1,92.9,0.205,100,20.83,0,0,13.2,6.7,327.9,1023.3,69.4,4.1,10,0.8,0,,0.5,0
2017/1/13,53.6,37.4,44.3,53.6,32.2,42.3,34,69.5,0,0,0,0,0,23,13.4,325.3,1021.8,0.1,4.2,161.8,13.9,6,,0.52,1
2017/1/14,48.2,33.8,41.7,44.2,30,37.9,30.7,66.9,0,0,0,0,0,23.9,11.2,354.5,1027,33.5,4.9,156.1,13.4,6,,0.55,1
2017/1/15,48.2,35.6,41.9,44.2,31.8,37.7,31,65.9,0,0,0,0,0,22.1,8.9,352.4,1029.4,76.2,6.3,89,7.7,4,,0.59,1
2017/1/16,48.2,35.6,42.2,46.4,33.9,39.8,33,70.9,0,0,0,0,0,16.3,8.9,7.7,1028.8,48,6.2,121.7,10.5,5,,0.62,0
2017/1/17,46.4,33.9,41.9,46.4,29.8,41.7,39.5,91.4,0.079,100,8.33,0,0,15.7,4.5,116.3,1028.6,55,3.7,66.5,5.7,4,,0.65,0
2017/1/18,50,44.6,46.8,48.5,44.3,45.9,46.8,100,0.238,100,16.67,0,0,14.8,6.7,17.3,1027,69.4,1.3,14.3,1.2,1,,0.68,0
2017/1/19,46.4,44.6,46.2,44.4,40.5,43,45.2,96.5,0.091,100,12.5,0,0,20.6,13.3,330.8,1026,72.9,2,21.6,1.8,1,,0.72,0
2017/1/20,44.6,30.2,39.6,38.9,23.5,32.3,22.4,51.9,0.005,100,4.17,0,0,34.7,17.9,323.7,1031.8,18.1,5.1,179.2,15.5,7,,0.75,0
2017/1/21,50,26.6,36.7,46.4,23.5,35.3,24.3,63.8,0,0,0,0,0,10.5,8.9,322.4,1031.3,14.2,6.3,169.7,14.7,7,,0.78,0
2017/1/22,48.2,28.4,37.9,44.2,27.6,35,25,64.5,0,0,0,0,0,25.3,13.4,337.5,1033.2,0,5.3,179.4,15.3,7,,0.81,0
2017/1/23,44.6,28.4,36.4,40.8,28.4,34.2,24.5,65.7,0,0,0,0,0,20.6,6.7,1.6,1035,17.8,5.2,177.4,15.2,7,,0.84,0
