name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Ninghai, Ningbo, China",2021-01-01,42.8,19.4,30.5,42.8,17.1,29.6,17.4,62.6,0,0,0,,0,0,23.1,4.7,297.3,1031.2,3.7,6.3,163.8,14.2,6,,2021-01-01T06:49:32,2021-01-01T17:05:20,0.57,Clear,Clear conditions throughout the day.,clear-day,"58239099999,58477099999,58556099999,ZSNB,WDG8555"
"Ninghai, Ningbo, China",2021-01-02,48.2,23,35,46.4,23,33.1,21.6,62.5,0,0,0,,0,0,16.6,8.9,355.8,1029.9,11.6,6,161.7,14,6,,2021-01-02T06:49:45,2021-01-02T17:06:03,0.61,Clear,Clear conditions throughout the day.,clear-day,"58239099999,58477099999,58556099999,ZSNB,WDG8555"
"Ninghai, Ningbo, China",2021-01-03,51.8,32,42.7,51.8,31.8,42.4,36.3,78.3,0,0,0,,0,0,19.7,4.5,10.2,1029.7,78,4.8,71.2,6.1,4,,2021-01-03T06:49:58,2021-01-03T17:06:46,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58239099999,58477099999,58556099999,ZSNB,WDG8555"
"Ninghai, Ningbo, China",2021-01-04,57.2,42.8,51.3,57.2,42.2,51.2,45.1,80.2,0.028,100,20.83,rain,0,0,19.9,4.5,46.2,1026.9,79.6,4.5,75.9,6.6,4,,2021-01-04T06:50:08,2021-01-04T17:07:31,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"58239099999,58477099999,58556099999,ZSNB"
"Ninghai, Ningbo, China",2021-01-05,51.8,44.6,48.6,51.8,39.8,45.4,41.7,77.1,0.028,100,20.83,rain,0,0,28.2,11.2,358.4,1027.8,91.2,5,55.1,4.6,3,,2021-01-05T06:50:18,2021-01-05T17:08:16,0.71,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"58239099999,58477099999,58556099999,ZSNB"
"Ninghai, Ningbo, China",2021-01-06,44.6,41,42.2,40.9,34.4,37.7,32.6,68.8,0.006,100,4.17,rain,0,0,23.6,11.2,345.3,1028.3,87.3,6.2,76.6,6.7,3,,2021-01-06T06:50:25,2021-01-06T17:09:02,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"58239099999,58477099999,58556099999,ZSNB,WDG8555"
"Ninghai, Ningbo, China",2021-01-07,39.2,24.8,31.6,33.1,13,22.1,14.2,48.7,0.006,100,4.17,rain,0,0,36.5,17.8,337.5,1032.7,76.3,5.5,93.3,8.1,4,,2021-01-07T06:50:31,2021-01-07T17:09:49,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"58239099999,58477099999,58556099999,ZSNB,WDG8555"
"Ninghai, Ningbo, China",2021-01-08,32,21.2,25.5,21.4,8.5,15.4,4,40.8,0,0,0,,0,0,34,15.7,324.6,1033.1,39.4,6.3,166.1,14.3,6,,2021-01-08T06:50:35,2021-01-08T17:10:36,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58239099999,58477099999,58556099999,ZSNB,WDG8555"
"Ninghai, Ningbo, China",2021-01-09,39.2,17.6,29.3,32.2,17.1,25.6,8.8,46,0,0,0,,0,0,29.5,15.5,322.5,1031.1,31,6.3,167.5,14.4,7,,2021-01-09T06:50:38,2021-01-09T17:11:24,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58239099999,58477099999,58556099999,ZSNB,WDG8555"
"Ninghai, Ningbo, China",2021-01-10,44.6,23,34.5,39.8,19.2,32.1,14,46.9,0,0,0,,0,0,22.4,8.9,3.2,1030.8,48.7,6.2,165.6,14.3,6,,2021-01-10T06:50:39,2021-01-10T17:12:13,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58239099999,58477099999,58556099999,ZSNB,WDG8555"
"Ninghai, Ningbo, China",2021-01-11,44.6,30.2,37.3,39.8,23.5,33,15.7,44.2,0,0,0,,0,0,22.6,13.4,329.3,1029.6,20.8,6.1,165.2,14.4,6,,2021-01-11T06:50:38,2021-01-11T17:13:02,0.93,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"58239099999,58477099999,58556099999,ZSNB,WDG8555"
"Ninghai, Ningbo, China",2021-01-12,51.8,28.4,39.9,51.8,26.6,37.7,12,35.6,0,0,0,,0,0,22.1,11.2,263.1,1024.2,0,6.2,173.5,14.9,7,,2021-01-12T06:50:36,2021-01-12T17:13:52,0.96,Clear,Clear conditions throughout the day.,clear-day,"58239099999,58477099999,58556099999,ZSNB"
"Ninghai, Ningbo, China",2021-01-13,66.1,28.4,45,66.1,28.4,44.5,20.3,44.2,0,0,0,,0,0,17.1,6.7,160.4,1019,0,6,172.1,15,7,,2021-01-13T06:50:31,2021-01-13T17:14:42,0,Clear,Clear conditions throughout the day.,clear-day,"58239099999,58477099999,58556099999,ZSNB,WDG8555"
"Ninghai, Ningbo, China",2021-01-14,68,32,48.5,68,32,48.4,27.8,50.9,0,0,0,,0,0,18.6,13.4,166,1018.8,10,6.1,168.1,14.5,7,,2021-01-14T06:50:26,2021-01-14T17:15:32,0.03,Clear,Clear conditions throughout the day.,clear-day,"58239099999,58477099999,58556099999,ZSNB"
"Ninghai, Ningbo, China",2021-01-15,71.6,41,55.3,71.6,38.1,54,37.4,56.4,0,0,0,,0,0,26.6,15.7,290.9,1017.5,4.3,5.6,168.1,14.5,6,,2021-01-15T06:50:18,2021-01-15T17:16:23,0.06,Clear,Clear conditions throughout the day.,clear-day,"58239099999,58477099999,58556099999,ZSNB"
"Ninghai, Ningbo, China",2021-01-16,48.2,39.2,44.2,44.3,33.1,38.9,32.4,63.8,0,0,0,,0,0,30.4,11.2,7.7,1028.3,77.7,4.7,92.7,8,4,,2021-01-16T06:50:09,2021-01-16T17:17:14,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58239099999,58477099999,58556099999,ZSNB"
"Ninghai, Ningbo, China",2021-01-17,44.6,32,38.7,40.8,27.6,34.2,22,53.2,0,0,0,,0,0,28.4,11.2,347.4,1033.1,34.8,6.2,153.2,13.3,6,,2021-01-17T06:49:59,2021-01-17T17:18:05,0.13,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"58239099999,58477099999,58556099999,ZSNB"
"Ninghai, Ningbo, China",2021-01-18,55.4,24.8,38.8,55.4,24.8,38.1,23,58.8,0,0,0,,0,0,18.7,8.9,110.5,1027.1,0,5.9,177.8,15.2,7,,2021-01-18T06:49:46,2021-01-18T17:18:57,0.16,Clear,Clear conditions throughout the day.,clear-day,"58239099999,58477099999,58556099999,ZSNB,WDG8555"
"Ninghai, Ningbo, China",2021-01-19,57.2,28.4,41.8,57.2,28.4,41.2,30.3,65.8,0,0,0,,0,0,22.1,15.7,122.4,1027.5,7.8,5.2,169,14.5,7,,2021-01-19T06:49:32,2021-01-19T17:19:49,0.19,Clear,Clear conditions throughout the day.,clear-day,"58239099999,58477099999,58556099999,ZSNB,WDG8555"
"Ninghai, Ningbo, China",2021-01-20,59,35.6,49.3,59,35.6,49,43.6,81.1,0.002,100,4.17,rain,0,0,19.7,6.7,188.9,1024.2,60.4,4.6,77,6.8,4,,2021-01-20T06:49:16,2021-01-20T17:20:41,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"58239099999,58477099999,58556099999,ZSNB,WDG8555"
"Ninghai, Ningbo, China",2021-01-21,68,53.6,59.3,68,53.6,59.3,55.3,86.9,0.022,100,4.17,rain,0,0,17.4,11.2,151.4,1019.2,68.3,3.9,85.7,7.1,4,,2021-01-21T06:48:59,2021-01-21T17:21:33,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"58239099999,58477099999,58556099999,ZSNB,WDG8555"
"Ninghai, Ningbo, China",2021-01-22,59,50,53.9,59,47.3,53.3,52.5,95,0.097,100,12.5,rain,0,0,18.5,8.9,358.7,1017.5,88.9,2.6,16.8,1.4,1,,2021-01-22T06:48:40,2021-01-22T17:22:25,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"58239099999,58477099999,58556099999,ZSNB,WDG8555"
"Ninghai, Ningbo, China",2021-01-23,50,46.4,48,47.3,42,44.7,46.1,93.3,0.01,100,8.33,rain,0,0,21,11.2,339.6,1018.5,100,2.9,36,3.2,2,,2021-01-23T06:48:20,2021-01-23T17:23:18,0.32,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"58239099999,58477099999,58556099999,ZSNB,WDG8555"
"Ninghai, Ningbo, China",2021-01-24,46.4,44.6,45.9,46.4,40.8,43.5,41.9,85.9,0,0,0,,0,0,19.7,8.9,339.7,1023.6,94.9,2.1,57.1,5,2,,2021-01-24T06:47:58,2021-01-24T17:24:10,0.35,Overcast,Cloudy skies throughout the day.,cloudy,"58239099999,58477099999,58556099999,ZSNB,WDG8555"
"Ninghai, Ningbo, China",2021-01-25,59,46.4,52.2,59,44.3,52,47.2,84,0.008,100,8.33,rain,0,0,15.7,6.9,161.5,1021.3,87.3,3.5,69,5.9,4,,2021-01-25T06:47:34,2021-01-25T17:25:03,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"58239099999,58477099999,58556099999,ZSNB,WDG8555"
"Ninghai, Ningbo, China",2021-01-26,55.4,46.4,50.4,55.4,43,48.4,45.5,83.3,0.059,100,16.67,rain,0,0,23.9,13.4,331.9,1021.4,89.4,4.7,30.9,2.7,1,,2021-01-26T06:47:09,2021-01-26T17:25:55,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"58239099999,58477099999,58556099999,ZSNB,WDG8555"
