name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,就诊时间,就诊人数
"Ninghai, Ningbo, China",2017-01-01,60.8,39.2,49.5,60.8,36.0,49.1,46.9,91.5,0.0,0,0.0,,0.0,0.0,21.0,15.7,155.1,1025.4,15.1,3.2,123.5,10.4,5,,2017-01-01T06:49:29,2017-01-01T17:05:18,0.1,Clear,Clear conditions throughout the day.,clear-day,"58239099999,58477099999,58556099999,ZSNB",2017-01-01,0.0
"Ninghai, Ningbo, China",2017-01-02,64.4,46.4,54.7,64.4,46.4,54.7,50.5,87.0,0.0,0,0.0,,0.0,0.0,18.6,11.2,5.8,1023.0,6.8,2.3,118.9,10.2,5,,2017-01-02T06:49:43,2017-01-02T17:06:00,0.14,Clear,Clear conditions throughout the day.,clear-day,"58239099999,58477099999,58556099999,ZSNB",2017-01-02,0.0
"Ninghai, Ningbo, China",2017-01-03,60.8,50.0,53.8,60.8,48.5,53.7,47.9,81.6,0.0,0,0.0,,0.0,0.0,11.0,6.7,27.9,1024.8,17.3,2.4,83.2,7.2,4,,2017-01-03T06:49:55,2017-01-03T17:06:44,0.17,Clear,Clear conditions throughout the day.,clear-day,"58239099999,58477099999,58556099999,ZSNB",2017-01-03,1.0
"Ninghai, Ningbo, China",2017-01-04,64.4,48.2,56.7,64.4,48.2,56.7,52.4,86.4,0.0,0,0.0,,0.0,0.0,10.3,8.9,129.3,1021.4,33.0,3.3,52.1,4.6,2,,2017-01-04T06:50:06,2017-01-04T17:07:28,0.21,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"58239099999,58477099999,58556099999,ZSNB",2017-01-04,0.0
"Ninghai, Ningbo, China",2017-01-05,59.0,53.5,58.0,59.0,53.5,58.0,55.8,92.6,0.271,100,16.67,rain,0.0,0.0,11.2,8.9,87.1,1018.6,85.8,3.1,17.6,1.5,1,,2017-01-05T06:50:15,2017-01-05T17:08:14,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"58239099999,58477099999,58556099999,ZSNB",2017-01-05,3.0
"Ninghai, Ningbo, China",2017-01-06,55.4,53.6,54.0,55.4,53.6,54.0,53.8,99.4,0.246,100,16.67,rain,0.0,0.0,12.3,8.9,338.4,1020.0,72.9,3.3,28.4,2.4,2,,2017-01-06T06:50:23,2017-01-06T17:09:00,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"58239099999,58477099999,58556099999,ZSNB",2017-01-06,1.0
"Ninghai, Ningbo, China",2017-01-07,59.0,51.8,55.6,59.0,51.8,55.6,54.9,97.4,0.659,100,16.67,rain,0.0,0.0,24.4,13.4,338.4,1015.0,69.8,2.8,46.4,4.0,3,,2017-01-07T06:50:29,2017-01-07T17:09:46,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"58239099999,58477099999,58556099999,ZSNB",2017-01-07,1.0
"Ninghai, Ningbo, China",2017-01-08,53.5,46.4,49.5,53.5,39.9,46.6,43.6,80.0,0.02,100,4.17,rain,0.0,0.0,27.7,15.7,326.7,1018.0,46.1,4.0,69.6,6.0,3,,2017-01-08T06:50:33,2017-01-08T17:10:34,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"58239099999,58477099999,58556099999,ZSNB",2017-01-08,0.0
"Ninghai, Ningbo, China",2017-01-09,46.4,44.5,45.5,44.6,38.9,41.0,35.1,67.2,0.0,0,0.0,,0.0,0.0,23.5,15.7,324.6,1023.9,59.8,3.5,82.0,7.2,4,,2017-01-09T06:50:36,2017-01-09T17:11:22,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58239099999,58477099999,58556099999,ZSNB",2017-01-09,0.0
"Ninghai, Ningbo, China",2017-01-10,48.2,37.4,43.9,46.4,37.4,42.5,37.1,77.7,0.003,100,4.17,rain,0.0,0.0,16.8,6.7,345.2,1025.8,48.8,2.7,85.1,7.4,4,,2017-01-10T06:50:37,2017-01-10T17:12:10,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"58239099999,58477099999,58556099999,ZSNB",2017-01-10,0.0
